,index,RANK,NAME,TEAM,POS,AGE,GP,MPG,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,APG,SPG,BPG,TPG,P+R,P+A,P+R+A,VI,ORtg,DRtg,Puntos Fantasy,Player,Team,Precio,Uso,Form,TP,PosFantasy,PosAgg
135,135,,duncan robinson,Mia,F,30.0,68,28.0,19.0,12.3,90,0.889,202,0.579,473,0.395,0.589,0.612,12.9,2.5,2.8,0.7,0.2,1.4,15.4,15.7,18.2,6.4,114.6,107.6,20.459279411764705,duncan robinson, MIA  ,9.0,0.016,0.0,1463.4,Front,Front
136,136,,scotty pippen jr.,Mem,G,23.4,21,25.1,23.1,21.6,55,0.745,131,0.534,72,0.417,0.567,0.596,12.9,3.2,4.7,1.7,0.5,2.7,16.1,17.6,20.8,9.2,110.2,105.6,25.492619047619048,scotty pippen jr., MEM  ,8.0,0.014,0.0,580.4,Front,Back
137,137,,dillon brooks,Hou,F,28.2,72,30.9,17.6,10.2,147,0.844,398,0.492,370,0.359,0.515,0.549,12.7,3.4,1.7,0.9,0.1,1.2,16.1,14.4,17.8,5.4,109.1,107.3,20.12708333333333,dillon brooks, HOU  ,9.0,0.018,0.0,1523.7,Front,Front
138,138,,mark williams,Cha,C,22.3,19,26.8,17.1,10.1,64,0.719,151,0.649,0,0.0,0.649,0.675,12.7,9.7,1.2,0.8,1.1,0.9,22.4,13.9,23.6,7.9,137.3,110.1,29.077578947368423,mark williams, CHA  ,12.0,0.0,0.0,586.8,Front,Back
139,139,,kelly olynyk,Tor,F-C,33.0,28,26.4,20.0,22.9,85,0.824,168,0.637,71,0.338,0.598,0.644,12.7,5.6,4.6,1.3,0.6,2.5,18.3,17.3,22.9,10.4,117.5,106.3,27.636642857142856,kelly olynyk, TOR  ,9.5,0.005,0.0,1935.7,Front,Front
140,140,,alec burks,Det,G,32.7,43,20.9,23.5,7.3,134,0.903,159,0.384,247,0.401,0.516,0.581,12.6,2.6,1.6,0.5,0.3,0.7,15.1,14.1,16.7,7.2,118.3,116.0,18.984069767441863,alec burks, MIA  ,6.0,0.013,0.0,1073.0,Back,Back
141,141,,spencer dinwiddie,Bro,G,31.0,48,30.7,18.6,11.0,160,0.781,221,0.48,278,0.32,0.48,0.53,12.6,3.3,6.0,0.8,0.2,1.3,15.9,18.6,21.9,8.2,118.6,115.2,26.243333333333332,spencer dinwiddie, DAL  ,9.0,0.007,0.0,1703.0,Front,Back
142,142,,jalen suggs,Orl,G,22.9,75,27.0,19.7,15.6,156,0.756,329,0.556,385,0.397,0.578,0.602,12.6,3.1,2.7,1.4,0.6,1.8,15.6,15.3,18.4,7.0,112.9,103.8,22.534253333333332,jalen suggs, ORL  ,9.5,0.039,0.0,1852.3,Front,Back
143,143,,brook lopez,Mil,C,36.0,79,30.5,16.0,9.5,134,0.821,351,0.621,404,0.366,0.583,0.608,12.5,5.2,1.6,0.5,2.4,1.0,17.7,14.1,19.3,6.2,120.6,111.5,25.96592405063291,brook lopez, MIL  ,11.0,0.016,0.0,2285.3,Front,Back
144,144,,jrue holiday,Bos,G,33.8,69,32.8,16.3,15.2,72,0.833,367,0.526,322,0.429,0.581,0.597,12.5,5.4,4.8,0.9,0.8,1.8,17.9,17.3,22.7,8.4,121.0,110.7,27.75063768115942,jrue holiday, BOS  ,11.5,0.069,0.0,2025.1,Front,Back
145,145,,josh giddey,Okc,G,21.5,80,25.1,23.1,16.5,124,0.806,604,0.53,243,0.337,0.523,0.547,12.3,6.4,4.8,0.7,0.6,2.1,18.8,17.2,23.6,11.5,111.1,109.3,27.703212499999996,josh giddey, CHI  ,11.0,0.038,0.0,2298.8,Back,Back
146,146,,cam whitmore,Hou,F,19.8,47,18.7,27.2,9.0,112,0.679,247,0.538,220,0.359,0.539,0.561,12.3,3.8,0.7,0.6,0.4,1.0,16.1,13.0,16.9,6.8,108.8,108.9,18.924042553191487,cam whitmore, HOU  ,8.5,0.013,0.0,939.5,Front,Front
147,147,,jonas valanciunas,Nor,C,31.9,82,23.5,20.8,13.4,205,0.785,599,0.609,120,0.308,0.585,0.619,12.2,8.8,2.1,0.4,0.8,1.4,21.0,14.3,23.1,10.4,122.8,101.1,26.922036585365856,jonas valanciunas, WAS  ,11.0,0.016,0.0,2315.7,Front,Back
148,148,,harrison barnes,Sac,F,31.9,82,29.0,15.7,7.2,196,0.801,347,0.571,385,0.387,0.576,0.611,12.2,3.0,1.2,0.7,0.1,0.7,15.2,13.4,16.4,4.9,122.1,116.9,18.49823170731707,harrison barnes, SAS  ,7.5,0.048,0.0,1588.3,Front,Front
149,149,,max strus,Cle,F,28.0,70,32.0,17.4,13.3,97,0.794,249,0.546,479,0.351,0.533,0.553,12.2,4.8,4.0,0.9,0.4,1.6,17.0,16.2,21.1,7.7,111.8,108.8,24.950185714285716,max strus, CLE  ,10.0,0.023,0.0,1850.1,Front,Front
150,150,,aaron nesmith,Ind,G-F,24.5,72,27.7,15.9,9.2,135,0.778,301,0.581,334,0.419,0.606,0.63,12.2,3.8,1.5,0.9,0.7,0.9,16.0,13.7,17.5,5.9,122.0,110.7,21.257638888888888,aaron nesmith, IND  ,9.5,0.007,0.0,1645.0,Front,Back
151,151,,ayo dosunmu,Chi,G,24.2,76,29.1,17.2,12.5,105,0.81,424,0.568,295,0.403,0.583,0.604,12.2,2.8,3.2,0.9,0.5,1.4,15.0,15.3,18.2,6.6,118.4,113.8,21.70959210526316,ayo dosunmu, CHI  ,9.5,0.026,0.0,1755.2,Front,Back
152,152,,buddy hield,Phi,G,31.3,32,25.8,20.2,11.0,26,0.923,122,0.492,211,0.389,0.55,0.566,12.2,3.2,3.0,0.8,0.3,1.3,15.4,15.2,18.4,7.6,114.1,110.8,21.436343750000002,buddy hield, GSW  ,9.5,0.048,0.0,1922.8,Front,Back
153,153,,javonte green,Chi,G,30.7,9,25.6,16.7,8.5,13,0.769,48,0.729,27,0.37,0.667,0.681,12.2,7.4,0.6,1.1,0.9,0.8,19.7,12.8,20.2,5.9,131.5,108.1,25.19677777777778,javonte green, NOP  ,6.0,0.008,0.0,244.9,Front,Back
154,154,,bruce brown,Ind,G,27.7,33,29.7,16.7,11.5,82,0.817,213,0.545,101,0.327,0.527,0.568,12.1,4.7,3.0,1.1,0.2,1.2,16.7,15.1,19.8,7.5,115.2,114.0,23.608030303030304,bruce brown, TOR  ,9.0,0.001,0.0,1496.8,Front,Back
155,155,,tyus jones,Was,G,27.9,66,29.3,16.3,9.0,40,0.8,410,0.537,256,0.414,0.569,0.578,12.0,2.7,7.3,1.1,0.3,1.0,14.7,19.3,22.0,8.4,126.2,122.7,27.96412121212121,tyus jones, PHX  ,11.5,0.004,0.0,1933.3,Front,Back
156,156,,buddy hield,Ind,G,31.3,52,25.7,18.6,10.7,33,0.848,160,0.575,357,0.384,0.575,0.586,12.0,3.2,2.7,0.8,0.6,1.2,15.2,14.7,17.9,7.3,114.2,115.7,21.475538461538463,buddy hield, GSW  ,9.5,0.048,0.0,1922.8,Front,Back
157,157,,jaime jaquez jr.,Mia,G,23.2,75,28.2,18.7,13.6,175,0.811,495,0.558,202,0.322,0.536,0.574,11.9,3.8,2.6,1.0,0.3,1.5,15.6,14.5,18.2,6.9,112.4,107.2,21.419693333333335,jaime jaquez jr., MIA  ,10.0,0.072,0.0,1701.5,Front,Back
158,158,,tre mann,Cha,G,23.2,28,31.0,18.2,16.9,58,0.759,169,0.509,107,0.364,0.524,0.552,11.9,4.5,5.2,1.7,0.1,2.0,16.4,17.1,21.5,8.4,109.8,116.6,26.689571428571426,tre mann, CHA  ,9.0,0.003,0.0,905.3,Back,Back
159,159,,nic claxton,Bro,C,25.0,71,29.8,15.6,13.8,196,0.551,577,0.633,5,0.2,0.63,0.629,11.8,9.9,2.1,0.6,2.0,1.3,21.8,13.9,23.9,8.4,123.5,108.0,30.7818028169014,nic claxton, BKN  ,12.5,0.004,0.0,2388.7,Front,Back
