,Player,PosFantasy,Precio,VI,USG%,ORtg,DRtg,eFG%,AGE,Puntos Fantasy
312,aaron holiday,Back,5.5,6.5,16.7,117.0,108.4,0.547,27.5,11.708551282051282
313,amir coffey,Back,4.5,4.7,12.5,122.0,113.4,0.571,26.8,11.878642857142856
314,jeff green,Front,5.5,5.7,15.5,118.7,111.4,0.529,37.6,11.232397435897438
315,alec burks,Back,6.0,6.4,26.9,91.6,114.3,0.383,32.7,9.769130434782609
316,david duke jr.,Front,5.5,8.6,18.3,121.9,111.2,0.639,24.5,11.648
317,kyle anderson,Front,8.5,8.0,14.5,114.4,105.2,0.472,30.6,18.701670886075952
318,chris boucher,Front,5.5,6.7,17.3,122.9,110.4,0.578,31.3,13.110319999999998
319,isaiah jackson,Front,6.5,8.5,17.2,134.0,101.5,0.665,22.3,14.884966666666667
320,patrick beverley,Front,6.0,8.0,14.9,114.7,109.0,0.504,35.8,15.426787234042552
321,daniel theis,Front,6.0,6.9,15.4,121.3,105.2,0.581,32.0,14.65715254237288
322,bruno fernando,Front,5.5,7.9,16.7,116.8,103.7,0.583,25.7,14.330399999999996
323,jared butler,Front,4.5,8.8,19.9,110.8,113.4,0.547,23.6,13.379
324,skylar mays,Front,4.5,8.1,19.5,106.8,116.8,0.435,26.6,14.593857142857145
325,jae crowder,Front,5.5,5.1,11.5,114.4,112.6,0.53,33.8,13.52396
326,cameron payne,Front,5.5,7.1,16.7,122.2,109.2,0.572,29.7,11.700234042553191
327,keon johnson,Front,4.5,5.6,22.1,110.2,111.8,0.476,22.1,9.3824
328,ben simmons,Front,9.5,10.9,13.0,120.2,105.2,0.581,27.7,25.162533333333336
329,haywood highsmith,Front,5.5,5.4,12.4,118.2,106.0,0.581,27.3,13.727696969696972
330,kris murray,Front,5.5,5.6,14.1,101.9,114.7,0.463,23.7,13.839322580645163
331,vit krejci,Front,5.5,5.3,9.7,121.6,115.3,0.625,23.8,13.36881818181818
332,doug mcdermott,Front,5.0,5.1,14.9,116.0,116.2,0.619,32.3,8.895760869565217
333,xavier tillman,Front,6.5,7.0,16.0,97.8,107.4,0.437,25.3,17.570911764705883
334,patrick beverley,Front,6.0,7.3,13.2,117.9,109.7,0.486,35.8,16.056461538461537
335,zavier simpson,Front,5.0,6.9,17.5,86.6,111.8,0.361,27.2,16.27571428571429
336,nick smith jr.,Front,5.0,6.0,20.3,98.8,118.0,0.5,20.0,9.20786274509804
337,justin champagnie,Front,5.5,7.6,17.0,110.2,116.7,0.494,22.8,13.9854
338,dyson daniels,Front,7.5,7.1,12.6,112.9,106.9,0.514,21.1,17.132180327868856
339,noah clowney,Front,5.5,6.3,14.2,121.4,112.5,0.602,19.8,12.482434782608696
340,patty mills,Front,5.0,5.3,19.4,96.3,108.4,0.406,35.7,10.543384615384616
341,marcus morris sr.,Front,5.5,5.7,18.0,99.9,110.7,0.542,34.6,9.373166666666668
342,larry nance jr.,Front,7.0,7.6,11.3,130.3,105.6,0.629,31.3,16.387819672131148
343,thomas bryant,Front,5.5,8.0,19.3,124.5,101.6,0.591,26.7,11.85263157894737
344,torrey craig,Front,5.5,6.0,12.5,118.0,108.4,0.55,33.3,13.686377358490564
345,jaylen nowell,Back,5.0,5.8,16.9,98.8,112.5,0.436,24.8,10.290888888888889
346,pat connaughton,Back,5.5,6.0,10.8,120.4,113.7,0.553,31.3,13.50613157894737
347,mitchell robinson,Front,10.0,4.9,10.2,122.6,106.8,0.575,26.0,20.48206451612903
348,craig porter,Front,5.0,9.5,20.2,113.7,109.8,0.535,24.1,12.05756862745098
349,nicolas batum,Front,7.0,5.7,8.7,126.1,111.2,0.599,35.3,15.914736842105263
350,gary payton ii,Front,5.5,6.5,13.6,122.0,106.1,0.617,31.4,12.22352272727273
351,neemias queta,Front,5.5,8.6,16.9,137.6,96.1,0.644,24.8,13.928
352,dexter dennis,Front,4.5,12.4,33.4,100.2,113.3,0.553,25.2,9.558749999999998
353,alex fudge,Front,4.5,0.0,16.6,113.6,112.6,0.611,20.9,9.8005
354,kris dunn,Front,7.5,8.3,13.6,115.7,111.3,0.535,30.1,16.18898484848485
355,,,,6.0,17.5,116.2,109.8,0.558,28.7,9.966142857142858
356,cam reddish,Front,5.5,4.4,12.7,101.9,112.1,0.468,24.6,11.431375
357,matisse thybulle,Back,6.5,4.4,10.6,110.5,114.0,0.524,27.1,14.463215384615385
358,dean wade,Front,5.5,5.0,10.5,120.4,106.2,0.584,27.4,13.388148148148147
359,matt ryan,Front,4.5,4.8,15.4,113.5,110.2,0.615,27.0,7.71375
360,ochai agbaji,Back,5.0,4.7,12.2,106.7,118.2,0.52,24.0,11.220980392156862
361,keon ellis,Back,5.5,6.1,12.4,121.7,106.1,0.612,24.3,12.531350877192985
